Card Color,Points,Cost [Black],Cost [White],Cost [Red],Cost [Blue],Cost [Green],ID
BLACK,0,0,1,1,1,1,blackCard1
BLACK,0,0,0,1,0,2,blackCard2
BLACK,0,0,2,0,0,2,blackCard3
BLACK,0,1,0,3,0,1,blackCard4
BLACK,0,0,0,0,0,3,blackCard5
BLACK,0,0,1,1,2,1,blackCard6
BLACK,0,0,2,1,2,0,blackCard7
BLACK,1,0,0,0,4,0,blackCard8
BLUE,0,2,1,0,0,0,blueCard1
BLUE,0,1,1,2,0,1,blueCard2
BLUE,0,1,1,1,0,1,blueCard3
BLUE,0,0,0,1,1,3,blueCard4
BLUE,0,3,0,0,0,0,blueCard5
BLUE,0,0,1,2,0,2,blueCard6
BLUE,0,2,0,0,0,2,blueCard7
BLUE,1,0,0,4,0,0,blueCard8
GREEN,0,0,2,0,1,0,greenCard1
GREEN,0,0,0,2,2,0,greenCard2
GREEN,0,0,1,0,3,1,greenCard3
GREEN,0,1,1,1,1,0,greenCard4
GREEN,0,2,1,1,1,0,greenCard5
GREEN,0,2,0,2,1,0,greenCard6
GREEN,0,0,0,3,0,0,greenCard7
GREEN,1,4,0,0,0,0,greenCard8
RED,0,0,3,0,0,0,redCard1
RED,0,3,1,1,0,0,redCard2
RED,0,0,0,0,2,1,redCard3
RED,0,2,2,0,0,1,redCard4
RED,0,1,2,0,1,1,redCard5
RED,0,1,1,0,1,1,redCard6
RED,0,0,2,2,0,0,redCard7
RED,1,0,4,0,0,0,redCard8
WHITE,0,1,0,0,2,2,whiteCard1
WHITE,0,1,0,2,0,0,whiteCard2
WHITE,0,1,0,1,1,1,whiteCard3
WHITE,0,0,0,0,3,0,whiteCard4
WHITE,0,0,0,0,2,2,whiteCard5
WHITE,0,1,0,1,1,2,whiteCard6
WHITE,0,1,3,0,1,0,whiteCard7
WHITE,1,0,0,0,0,4,whiteCard8
